id,session_id,message,response,chats,human_agent,intent,reason,created_at
1,p7u2q64bj1s2ex9rbc34mqherkon2jye,hi,Hello! How can I assist you today?,1,False,,,2024-01-20 14:50:24.437187+00:00
2,7a9ldezhfdq3rnyxquwvqv8o2m33ym1m,I would like to pay my council tax online,You can pay your council tax online using a credit or debit card. Please visit this link to make a payment: 😁 (https://tinyurl.com/yrm6ygk5),1,False,,,2024-01-20 14:50:24.437187+00:00
3,7a9ldezhfdq3rnyxquwvqv8o2m33ym1m,hi,Hello! How can I assist you today?,1,False,,,2024-01-20 14:50:24.437187+00:00
4,86oiyvkgz3c6s61qyyc4zhx3reaoaxup,"
",Hello! How can I assist you today?,1,False,,,2024-01-20 14:50:24.437187+00:00
5,ocwgaee10t5txflsv0wknl8769af9054,"
",Hello! How can I assist you today?,1,False,,,2024-01-20 14:50:24.437187+00:00
6,91fo7qxkt6xpkk3p956n3pcw3hfd3rau,"
",Hello! How can I assist you today?,1,False,,,2024-01-20 14:50:24.437187+00:00
7,kz26p8xbvsg5wqdbzgdl9glglfo2swuh,"
",Hello! How can I assist you today?,1,False,,,2024-01-20 14:50:24.437187+00:00
8,1okwvyh1zbqlk2h0dqb4th7xgqbadqyp,Hi,Hello! How can I assist you today?,1,False,,,2024-01-20 14:50:24.437187+00:00
9,4dx55mthj9u7ra0yy0j7pxijafkrs8z8,What's the weather in Toronto?,The current temperature in Toronto is 5.0°C.,1,False,,,2024-01-20 14:50:24.437187+00:00
10,n6ucnpjw573vzwlod8157vk1t78bnm1f,Hi,Hello! How can I assist you today?,1,False,,,2024-01-20 14:50:24.437187+00:00
11,vviad36y1ahnmqlclyoguuj51449rxmt,Hi,Hello! How can I assist you today?,1,False,,,2024-01-20 14:50:24.437187+00:00
12,vviad36y1ahnmqlclyoguuj51449rxmt,Who is 50 Cent?,"50 Cent, whose real name is Curtis James Jackson III, is an American rapper, actor, television producer, and businessman. He gained fame in the early 2000s with his debut album ""Get Rich or Die Tryin'"" and has since sold over 30 million albums worldwide. He has also appeared in films and TV shows, including the series ""Power.""",1,False,,,2024-01-20 14:50:24.437187+00:00
13,vviad36y1ahnmqlclyoguuj51449rxmt,Hi,Hello! How can I assist you today?,1,False,,,2024-01-20 14:50:24.437187+00:00
14,ey10o5g9z8w4to5g1ncjqa0acsredo59,I had a hard time finding info on death registrations,"I'm sorry to hear that. Death registrations can be done by contacting Southend Registrars at 01702 215009 once the surgery has confirmed the completion of the Medical Certificate of Cause of Death. The registration should be done within five days, and it's helpful to nominate a funeral director before the appointment.",1,False,,,2024-01-20 14:50:24.437187+00:00
15,ey10o5g9z8w4to5g1ncjqa0acsredo59,I do not like the layout of your website,"I apologize if you find the layout of our website inconvenient. We are constantly working to improve user experience. If you have any specific feedback or suggestions, please let us know so that we can take them into consideration.",1,False,,,2024-01-20 14:50:24.437187+00:00
16,ey10o5g9z8w4to5g1ncjqa0acsredo59,I had a hard time finding info on death registrations,"I'm sorry to hear that. Death registrations can be done by contacting Southend Registrars at 01702 215009 once the surgery has confirmed the completion of the Medical Certificate of Cause of Death. The registration should be done within five days, and it's helpful to nominate a funeral director before the appointment.",1,False,,,2024-01-20 14:50:24.437187+00:00
17,ey10o5g9z8w4to5g1ncjqa0acsredo59,Thanks,"You're welcome! If you have any more questions or need further assistance, feel free to ask.",1,False,,,2024-01-20 14:50:24.437187+00:00
18,ey10o5g9z8w4to5g1ncjqa0acsredo59,I do not like the layout of your website,"I apologize if you find the layout of our website inconvenient. We are constantly working to improve user experience. If you have any specific feedback or suggestions, please let us know so that we can take them into consideration.",1,False,,,2024-01-20 14:50:24.437187+00:00
19,ey10o5g9z8w4to5g1ncjqa0acsredo59,I had a hard time finding info on death registrations,"I'm sorry to hear that. Death registrations can be done by contacting Southend Registrars at 01702 215009 once the surgery has confirmed the completion of the Medical Certificate of Cause of Death. The registration should be done within five days, and it's helpful to nominate a funeral director before the appointment.",1,False,,,2024-01-20 14:50:24.437187+00:00
20,2o5vcg44e3kxyqpsoat9y4aawvp8p5i0,"Hi, i want to pay my council tax",You can pay your council tax online using a credit or debit card. Visit https://tinyurl.com/yrm6ygk5 to make a payment.,1,False,,,2024-01-20 14:50:24.437187+00:00
21,2o5vcg44e3kxyqpsoat9y4aawvp8p5i0,how hot is lagos,The current temperature in Lagos is 33.9°C.,1,False,,,2024-01-20 14:50:24.437187+00:00
22,2o5vcg44e3kxyqpsoat9y4aawvp8p5i0,"Hi, i want to pay my council tax",You can pay your council tax online using a credit or debit card. Visit https://tinyurl.com/yrm6ygk5 to make a payment.,1,False,,,2024-01-20 14:50:24.437187+00:00
23,r9onq92pmpbzb4f6ftaxdfy2s1qjrjyz,Hello there,Hello! How can I assist you today?,1,False,,,2024-01-20 14:50:24.437187+00:00
24,r9onq92pmpbzb4f6ftaxdfy2s1qjrjyz,Thanks,"You're welcome! If you have any more questions, feel free to ask.",1,False,,,2024-01-20 14:50:24.437187+00:00
25,r9onq92pmpbzb4f6ftaxdfy2s1qjrjyz,I want the council tax team number,You can contact the council tax team on 01702 215001 during office hours.,1,False,,,2024-01-20 14:50:24.437187+00:00
26,r9onq92pmpbzb4f6ftaxdfy2s1qjrjyz,Hello there,Hello! How can I assist you today?,1,False,,,2024-01-20 14:50:24.437187+00:00
27,pb9faxeuy8x7ks0etvgthmfbp6q60ow3,Hello,Hello! How can I assist you today?,1,False,,,2024-01-20 14:50:24.437187+00:00
28,pb9faxeuy8x7ks0etvgthmfbp6q60ow3,Thanks,"You're welcome! If you have any more questions, feel free to ask.",1,False,,,2024-01-20 14:50:24.437187+00:00
29,pb9faxeuy8x7ks0etvgthmfbp6q60ow3,Can I get the number for the council tax team?,The contact number for the Council Tax team is 01702 215001.,1,False,,,2024-01-20 14:50:24.437187+00:00
30,pb9faxeuy8x7ks0etvgthmfbp6q60ow3,Hello,Hello! How can I assist you today?,1,False,,,2024-01-20 14:50:24.437187+00:00
31,7rzpxxd8392x2wvsdhjiukkqasfdw1cx,Thanks,"You're welcome! If you have any more questions, feel free to ask.",1,False,,,2024-01-20 14:50:24.437187+00:00
